Ax,Ay,Az,Amag
0.30,0.65,-9.92,9.94
0.41,0.63,-9.96,9.99
0.35,0.56,-9.95,9.97
0.40,0.76,-9.92,9.96
0.26,0.54,-9.89,9.90
0.43,0.72,-9.94,9.97
0.46,0.60,-9.85,9.88
0.33,0.71,-9.91,9.94
0.37,0.71,-9.95,9.99
0.22,0.41,-9.93,9.94
0.43,0.74,-9.96,10.00
0.44,0.69,-9.94,9.97
0.40,0.65,-9.92,9.95
0.41,0.72,-9.90,9.94
0.18,0.42,-9.91,9.92
0.42,0.68,-9.94,9.97
0.47,0.71,-9.93,9.97
0.26,0.56,-9.91,9.93
0.37,0.64,-9.94,9.96
0.41,0.60,-9.97,10.00
0.39,0.69,-9.92,9.96
0.23,0.57,-9.87,9.89
0.25,0.49,-9.91,9.93
0.42,0.69,-9.99,10.02
0.45,0.67,-9.92,9.95
0.38,0.65,-9.88,9.91
0.14,0.48,-9.98,9.99
0.44,0.69,-9.99,10.02
0.37,0.49,-9.85,9.87
0.23,0.81,-10.04,10.08
0.45,0.59,-9.97,10.00
0.31,0.66,-9.88,9.90
0.30,0.71,-9.96,9.99
0.35,0.55,-10.01,10.03
0.40,0.50,-9.97,9.99
0.41,0.63,-9.91,9.94
0.40,0.67,-9.91,9.94
0.27,0.59,-9.91,9.93
0.31,0.63,-9.93,9.95
0.38,0.63,-9.94,9.97
0.33,0.58,-9.92,9.94
0.35,0.60,-9.91,9.94
0.19,0.63,-10.02,10.04
0.44,0.54,-9.88,9.91
0.33,0.67,-9.93,9.96
0.38,0.66,-9.94,9.96
0.23,0.58,-9.98,10.00
0.36,0.60,-9.95,9.98
0.42,0.62,-9.96,9.99
0.39,0.67,-9.87,9.90
0.27,0.63,-9.91,9.93
0.32,0.52,-9.92,9.94
0.33,0.51,-9.92,9.94
0.32,0.72,-9.90,9.93
0.30,0.57,-9.94,9.96
0.31,0.49,-9.95,9.97
0.35,0.56,-9.94,9.96
0.35,0.73,-9.91,9.94
0.39,0.58,-9.91,9.94
0.34,0.51,-9.95,9.97
0.32,0.55,-9.91,9.93
0.24,0.54,-9.90,9.91
0.33,0.64,-9.95,9.98
0.44,0.65,-9.99,10.02
0.39,0.51,-9.86,9.88
0.16,0.81,-10.00,10.04
0.31,0.61,-9.99,10.02
0.21,0.31,-9.84,9.85
0.33,0.71,-9.93,9.96
0.42,0.79,-9.98,10.02
0.43,0.59,-9.95,9.98
0.20,0.40,-9.91,9.92
0.23,0.62,-9.90,9.92
0.34,0.69,-9.91,9.94
0.28,0.57,-9.92,9.94
0.30,0.37,-9.94,9.96
0.35,0.62,-9.92,9.94
0.32,0.64,-9.95,9.98
0.32,0.66,-10.01,10.04
0.37,0.47,-9.91,9.93
0.15,0.46,-9.92,9.93
0.32,0.62,-9.95,9.97
0.49,0.67,-9.96,10.00
0.41,0.63,-9.91,9.94
0.22,0.53,-9.88,9.90
0.31,0.61,-9.88,9.91
0.27,0.51,-9.89,9.91
0.33,0.62,-9.92,9.94
0.27,0.57,-9.95,9.97
0.32,0.59,-9.98,10.00
0.42,0.63,-9.92,9.95
0.30,0.56,-9.91,9.93
0.32,0.57,-9.94,9.97
0.40,0.59,-9.98,10.01
0.29,0.57,-9.92,9.94
0.27,0.59,-9.90,9.92
0.36,0.62,-9.95,9.98
0.29,0.55,-10.02,10.04
0.33,0.54,-9.92,9.94
0.31,0.50,-9.80,9.82
0.19,0.86,-10.15,10.19
0.37,0.51,-9.99,10.01
0.25,0.52,-9.83,9.84
0.33,0.66,-9.94,9.97
0.49,0.59,-10.03,10.06
0.26,0.50,-9.99,10.01
0.23,0.59,-9.90,9.92
0.26,0.69,-9.91,9.93
0.32,0.63,-9.93,9.95
0.34,0.53,-9.94,9.96
0.27,0.53,-9.92,9.93
0.30,0.64,-9.92,9.94
0.26,0.61,-10.04,10.06
0.46,0.59,-9.95,9.98
0.33,0.51,-9.91,9.92
0.12,0.62,-10.01,10.03
0.40,0.68,-10.02,10.05
0.43,0.50,-9.95,9.97
0.21,0.50,-9.95,9.96
0.25,0.64,-9.91,9.94
0.31,0.62,-9.84,9.86
0.40,0.64,-9.89,9.92
0.35,0.60,-9.93,9.95
0.12,0.47,-9.93,9.94
0.32,0.65,-9.96,9.99
0.35,0.53,-9.94,9.96
0.30,0.54,-9.95,9.96
0.24,0.53,-9.90,9.91
0.24,0.59,-9.98,10.00
0.35,0.63,-9.97,10.00
0.24,0.48,-9.87,9.88
0.21,0.52,-9.86,9.88
0.29,0.59,-10.03,10.05
0.41,0.57,-9.78,9.81
0.07,0.54,-9.91,9.92
0.42,0.65,-10.05,10.08
0.45,0.61,-9.98,10.01
0.28,0.59,-9.88,9.91
0.23,0.61,-9.92,9.94
0.30,0.63,-9.91,9.93
0.27,0.53,-9.94,9.95
0.35,0.56,-9.91,9.94
0.34,0.57,-9.93,9.95
0.31,0.61,-9.93,9.95
0.16,0.56,-10.01,10.03
0.28,0.50,-9.91,9.93
0.21,0.60,-9.96,9.98
0.24,0.58,-9.99,10.01
0.40,0.58,-9.95,9.98
0.32,0.55,-9.92,9.94
0.26,0.60,-9.98,10.01
0.29,0.59,-9.88,9.90
0.24,0.50,-9.89,9.91
0.37,0.60,-9.98,10.00
0.32,0.56,-9.91,9.93
0.28,0.64,-9.88,9.91
0.33,0.57,-9.96,9.98
0.25,0.47,-9.98,10.00
0.24,0.43,-9.94,9.96
0.26,0.51,-9.92,9.94
0.31,0.65,-9.95,9.97
0.37,0.59,-9.95,9.98
0.36,0.56,-9.86,9.88
0.06,0.71,-10.05,10.08
0.30,0.49,-9.96,9.97
0.33,0.50,-9.78,9.80
0.25,0.66,-9.90,9.92
0.33,0.52,-10.00,10.02
0.39,0.55,-9.95,9.98
0.31,0.61,-9.92,9.94
0.24,0.62,-9.89,9.92
0.29,0.51,-9.91,9.93
0.33,0.60,-9.95,9.97
0.25,0.54,-9.91,9.93
0.26,0.61,-9.90,9.92
0.30,0.59,-9.98,10.00
0.35,0.66,-10.06,10.08
0.37,0.61,-9.90,9.92
0.21,0.67,-9.94,9.97
0.26,0.57,-9.97,9.99
0.34,0.50,-9.96,9.98
0.34,0.61,-9.97,9.99
0.32,0.66,-9.93,9.96
0.35,0.66,-9.90,9.92
0.31,0.51,-9.87,9.89
0.34,0.66,-9.95,9.98
0.30,0.54,-9.94,9.95
0.29,0.61,-9.93,9.95
0.40,0.67,-9.98,10.01
0.29,0.47,-9.95,9.96
0.29,0.58,-9.92,9.94
