Ax,Ay,Az,Amag
-2.50,-1.08,-9.50,9.88
-2.48,-1.11,-9.49,9.87
-2.61,-1.06,-9.51,9.92
-2.53,-1.05,-9.57,9.95
-2.44,-1.00,-9.54,9.90
-2.38,-1.03,-9.56,9.90
-2.48,-1.05,-9.54,9.91
-2.46,-1.04,-9.55,9.92
-2.51,-1.00,-9.51,9.89
-2.47,-1.04,-9.53,9.90
-2.48,-1.03,-9.54,9.92
-2.50,-1.05,-9.54,9.92
-2.45,-1.07,-9.53,9.90
-2.46,-0.99,-9.52,9.89
-2.42,-1.06,-9.52,9.88
-2.56,-1.04,-9.57,9.96
-2.53,-0.99,-9.56,9.94
-2.52,-1.01,-9.53,9.91
-2.46,-1.13,-9.53,9.91
-2.40,-1.05,-9.54,9.90
-2.44,-0.95,-9.54,9.89
-2.50,-1.01,-9.54,9.92
-2.50,-1.04,-9.57,9.94
-2.52,-1.03,-9.54,9.92
-2.47,-1.03,-9.57,9.94
-2.47,-1.08,-9.52,9.90
-2.48,-1.06,-9.54,9.91
-2.46,-1.04,-9.54,9.91
-2.53,-1.06,-9.54,9.93
-2.50,-1.06,-9.58,9.96
-2.38,-1.09,-9.54,9.89
-2.46,-1.03,-9.49,9.85
-2.55,-1.00,-9.61,9.99
-2.58,-1.01,-9.55,9.94
-2.44,-1.01,-9.53,9.89
-2.40,-1.05,-9.55,9.90
-2.46,-1.06,-9.54,9.91
-2.53,-1.06,-9.52,9.91
-2.43,-1.05,-9.56,9.92
-2.50,-1.01,-9.57,9.94
-2.49,-1.02,-9.55,9.92
-2.49,-1.00,-9.54,9.91
-2.45,-1.05,-9.54,9.91
-2.49,-1.06,-9.55,9.93
-2.59,-1.03,-9.55,9.95
-2.55,-1.04,-9.54,9.93
-2.40,-1.04,-9.52,9.87
-2.43,-1.06,-9.55,9.91
-2.53,-1.01,-9.57,9.95
-2.41,-0.99,-9.57,9.92
-2.39,-0.99,-9.52,9.86
-2.41,-1.07,-9.54,9.90
-2.43,-0.99,-9.57,9.92
-2.42,-0.95,-9.60,9.94
-2.51,-1.02,-9.57,9.95
-2.59,-1.07,-9.53,9.94
-2.36,-1.02,-9.54,9.88
-2.40,-0.99,-9.54,9.89
-2.48,-1.06,-9.56,9.93
-2.44,-1.10,-9.59,9.96
-2.39,-0.96,-9.60,9.94
-2.55,-0.99,-9.50,9.88
-2.49,-1.03,-9.53,9.90
-2.46,-0.99,-9.58,9.94
-2.44,-1.01,-9.55,9.90
-2.38,-1.08,-9.57,9.92
-2.43,-1.02,-9.57,9.92
-2.42,-0.99,-9.58,9.93
-2.46,-0.94,-9.55,9.90
-2.50,-0.99,-9.55,9.92
-2.49,-1.02,-9.54,9.91
-2.45,-1.01,-9.54,9.90
-2.45,-0.97,-9.55,9.91
-2.48,-1.03,-9.60,9.97
-2.56,-1.01,-9.56,9.95
-2.55,-0.97,-9.54,9.92
-2.40,-1.10,-9.54,9.90
-2.40,-1.05,-9.57,9.92
-2.53,-1.01,-9.54,9.92
-2.48,-1.00,-9.58,9.95
-2.41,-1.02,-9.54,9.90
-2.42,-0.99,-9.56,9.91
-2.49,-0.99,-9.56,9.93
-2.51,-0.99,-9.53,9.91
-2.34,-0.97,-9.54,9.87
-2.53,-1.02,-9.54,9.92
-2.53,-1.02,-9.57,9.95
-2.47,-1.00,-9.56,9.92
-2.44,-1.02,-9.54,9.90
-2.50,-1.03,-9.58,9.95
-2.45,-1.07,-9.54,9.91
-2.54,-1.03,-9.49,9.87
-2.44,-0.98,-9.61,9.97
-2.56,-1.03,-9.55,9.94
-2.38,-1.00,-9.55,9.89
-2.39,-1.03,-9.54,9.89
-2.51,-0.98,-9.54,9.92
-2.55,-0.99,-9.53,9.91
-2.45,-1.01,-9.50,9.87
-2.46,-1.01,-9.52,9.88
-2.51,-1.03,-9.58,9.96
-2.48,-1.04,-9.54,9.91
-2.37,-1.03,-9.52,9.87
-2.52,-1.04,-9.54,9.92
-2.52,-1.03,-9.58,9.96
-2.50,-0.98,-9.56,9.93
-2.52,-0.97,-9.57,9.94
-2.50,-1.03,-9.55,9.92
-2.42,-1.00,-9.53,9.88
-2.44,-1.02,-9.54,9.90
-2.48,-1.00,-9.53,9.90
-2.50,-1.04,-9.57,9.94
-2.55,-0.99,-9.55,9.93
-2.47,-1.01,-9.54,9.91
-2.44,-0.98,-9.53,9.89
-2.50,-1.02,-9.56,9.93
-2.53,-1.02,-9.58,9.96
-2.48,-1.01,-9.53,9.90
-2.45,-0.95,-9.51,9.86
-2.42,-1.03,-9.59,9.94
-2.43,-1.02,-9.60,9.96
-2.49,-1.01,-9.53,9.90
-2.58,-0.89,-9.63,10.01
-2.47,-1.08,-9.55,9.92
-2.51,-1.01,-9.49,9.86
-2.32,-1.02,-9.54,9.87
-2.49,-1.03,-9.53,9.90
-2.50,-0.97,-9.58,9.94
-2.53,-0.94,-9.55,9.92
-2.48,-1.01,-9.54,9.91
-2.49,-1.03,-9.53,9.91
-2.47,-1.04,-9.54,9.91
-2.47,-1.01,-9.52,9.89
-2.38,-0.97,-9.57,9.91
-2.47,-1.02,-9.58,9.94
-2.49,-1.04,-9.56,9.93
-2.47,-1.00,-9.54,9.91
-2.46,-1.01,-9.55,9.91
-2.50,-1.00,-9.56,9.93
-2.48,-1.00,-9.54,9.91
-2.39,-0.96,-9.54,9.88
-2.49,-0.98,-9.54,9.91
-2.51,-1.06,-9.55,9.93
-2.45,-1.02,-9.60,9.95
-2.43,-0.98,-9.56,9.91
-2.52,-1.00,-9.55,9.93
-2.54,-1.03,-9.51,9.89
-2.45,-1.00,-9.56,9.92
-2.45,-1.03,-9.50,9.86
-2.45,-0.99,-9.59,9.95
-2.48,-1.02,-9.58,9.94
-2.49,-1.04,-9.53,9.90
-2.44,-0.96,-9.59,9.94
-2.42,-0.86,-9.65,9.98
-2.39,-1.08,-9.53,9.89
-2.50,-0.98,-9.52,9.89
-2.36,-1.06,-9.56,9.90
-2.43,-1.03,-9.55,9.91
-2.47,-0.93,-9.54,9.90
-2.50,-0.97,-9.55,9.92
-2.49,-0.98,-9.54,9.91
-2.53,-0.98,-9.54,9.92
-2.49,-1.08,-9.56,9.94
-2.31,-0.99,-9.58,9.90
-2.35,-0.92,-9.58,9.90
-2.48,-1.02,-9.57,9.94
-2.46,-0.97,-9.57,9.93
-2.47,-0.95,-9.54,9.90
-2.39,-1.01,-9.54,9.88
-2.46,-0.97,-9.57,9.93
-2.44,-0.95,-9.52,9.88
-2.48,-0.96,-9.55,9.92
-2.46,-0.99,-9.55,9.91
-2.46,-1.07,-9.55,9.92
-2.46,-0.99,-9.54,9.90
-2.50,-1.00,-9.58,9.96
-2.52,-1.05,-9.55,9.93
-2.50,-1.04,-9.58,9.96
-2.41,-1.00,-9.58,9.93
-2.45,-1.00,-9.55,9.91
-2.47,-0.99,-9.53,9.90
-2.44,-0.97,-9.56,9.92
-2.46,-0.95,-9.56,9.92
-2.50,-0.96,-9.54,9.91
-2.44,-0.98,-9.59,9.94
-2.46,-1.04,-9.47,9.84
-2.41,-0.91,-9.57,9.91
-2.48,-0.90,-9.66,10.02
-2.48,-1.05,-9.56,9.93
-2.38,-1.04,-9.58,9.92
-2.37,-1.07,-9.56,9.91
-2.40,-0.96,-9.57,9.91
-2.43,-0.99,-9.54,9.89
-2.48,-0.93,-9.56,9.92
-2.43,-0.98,-9.57,9.92
-2.44,-0.93,-9.56,9.91
-2.37,-0.98,-9.57,9.90
-2.39,-0.98,-9.57,9.92
-2.42,-0.98,-9.58,9.93
-2.45,-0.96,-9.61,9.97
-2.43,-0.96,-9.61,9.96
-2.48,-0.92,-9.56,9.92
-2.45,-1.00,-9.55,9.91
-2.39,-0.99,-9.56,9.91
-2.43,-0.98,-9.57,9.92
-2.41,-0.96,-9.55,9.90
-2.47,-1.01,-9.55,9.92
-2.47,-1.00,-9.58,9.95
-2.42,-0.99,-9.55,9.90
-2.36,-0.98,-9.54,9.88
-2.48,-0.95,-9.58,9.94
-2.43,-1.01,-9.57,9.93
-2.52,-1.00,-9.54,9.92
-2.41,-0.97,-9.57,9.92
-2.43,-0.98,-9.56,9.91
-2.45,-0.98,-9.57,9.92
-2.42,-0.99,-9.57,9.92
-2.45,-0.99,-9.58,9.94
-2.51,-0.95,-9.58,9.95
-2.36,-1.00,-9.58,9.91
-2.45,-0.96,-9.56,9.91
-2.42,-0.99,-9.58,9.93
-2.46,-0.99,-9.59,9.95
-2.54,-1.02,-9.51,9.90
-2.43,-1.03,-9.55,9.91
-2.49,-0.96,-9.61,9.97
-2.43,-0.97,-9.59,9.94
-2.32,-1.07,-9.51,9.85
-2.36,-0.95,-9.54,9.87
-2.47,-0.90,-9.56,9.91
-2.51,-0.96,-9.60,9.96
-2.35,-1.00,-9.56,9.90
-2.34,-1.03,-9.57,9.91
-2.30,-1.00,-9.58,9.91
-2.45,-0.95,-9.56,9.92
-2.50,-1.03,-9.60,9.98
-2.39,-1.04,-9.60,9.94
-2.43,-0.92,-9.54,9.89
-2.44,-0.96,-9.55,9.90
-2.41,-0.99,-9.57,9.91
-2.37,-0.89,-9.57,9.90
-2.50,-0.91,-9.59,9.95
-2.43,-0.97,-9.56,9.91
